title,rus_title,kz_title,city_from,pop_1979,pop_1989,pop_1999,pop_2009,pop_2014,pop_2019,status,region,area,altitude,timezone,zipcode,current_pop,lat,lon
Абай,Абай,Абай,1961,39387.0,46533.0,33066.0,25550.0,27954.0,28365.0,4,Карагандинская область,200.0,504.0,UTC+6:00,"100100, 100101",28363.0,49.63333,72.85
Акколь,Акколь,Ақкөл,1965,17867.0,19664.0,15682.0,14217.0,13708.0,13676.0,4,Акмолинская область,9400.0,364.0,UTC+6:00,020100,13678.0,52.0,70.93333
Аксай,Аксай,Ақсай,1967,10400.0,18237.0,28953.0,32873.0,33589.0,35310.0,4,Западно-Казахстанская область,,,UTC+5:00,090300 — 090302,35310.0,51.16778,52.995
Аксу,Аксу,Ақсу,1961,41572.0,47067.0,42264.0,41677.0,42519.0,41639.0,3,Павлодарская область,8.08966,,UTC+6:00,140100—140104,41625.0,52.03333,76.91667
Актау,Актау,Ақтау,1963,110575.0,159245.0,143396.0,166962.0,182033.0,183006.0,2,Мангистауская область,76.48,-8.0,UTC+5:00,130000,193494.0,43.65,51.15
Актобе,Актобе,Ақтөбе,1869,190569.0,253532.0,253088.0,345687.0,385438.0,500000.0,2,Актюбинская область,428.469,225.0,UTC+5:00,030000—030021[6],512452.0,50.3,57.16667
Алга,Алга,Алға,1961,16420.0,17910.0,15372.0,19705.0,19997.0,20432.0,4,Актюбинская область,,270.0,UTC+5:00,030200-030214,20562.0,49.90278,57.335
Алма-Ата,Алматы,Алматы,1867,909644.0,1127884.0,1130621.0,1365362.0,1534353.0,1854656.0,1,Город республиканского значения,682.0,785.0,UTC+6:00,050000 — 050063,1916822.0,43.25,76.9
Аральск,Арал,Арал,1938,32087.0,30801.0,30347.0,29887.0,31768.0,33139.0,4,Кызылординская область,,,UTC+5:00,120100,33141.0,46.8,61.66667
Аркалык,Аркалык,Арқалық,1965,47963.0,62367.0,45736.0,28169.0,28968.0,28249.0,3,Костанайская область,10.0,,UTC+6:00,110300,41371.0,50.24861,66.91139
Арыс,Арыс,Арыс,1956,18948.0,20375.0,23567.0,25789.0,42286.0,44388.0,3,Туркестанская область,,,UTC+6:00,160100,74252.0,42.43333,68.8
Нур-Султан,Нур-Султан,Нұр-Сұлтан,1831,233638.0,277365.0,328341.0,613066.0,844930.0,1078384.0,1,"Город республиканского значения,столица Казахстана",797.33,347.0,UTC+6:00,010000,1184469.0,51.13333,71.43333
Атбасар,Атбасар,Атбасар,1892,36250.0,39163.0,32288.0,30436.0,29673.0,28753.0,4,Акмолинская область,68.7,290.0,UTC+6:00,020400,28735.0,51.81667,68.35
Атырау,Атырау,Атырау,1885,130916.0,149261.0,143184.0,165387.0,202026.0,269704.0,2,Атырауская область,,-20.0,UTC+5:00,060001—060011,290700.0,47.11667,51.88333
